LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
121401,DELAWARE,MARGARETVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,5,15.2%,6,18.2%,11,33.3%,DISTRICT TOTAL,SCHOOL DISTRICT,415 MAIN ST,MARGARETVILLE,NY,12455,"(42.1454, -74.6532)"
121401,DELAWARE,MARGARETVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,6,26.1%,6,26.1%,ELEMENTARY,SCHOOL DISTRICT,415 MAIN ST,MARGARETVILLE,NY,12455,"(42.1454, -74.6532)"
121401,DELAWARE,MARGARETVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,5,50%,,,5,50%,MIDDLE/HIGH,SCHOOL DISTRICT,415 MAIN ST,MARGARETVILLE,NY,12455,"(42.1454, -74.6532)"
121502,DELAWARE,ROXBURY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,21,16.8%,32,25.6%,53,42.4%,DISTRICT TOTAL,SCHOOL DISTRICT,53729 NYS RT 30,ROXBURY,NY,12474,"(42.286, -74.5643)"
121502,DELAWARE,ROXBURY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,10,13%,17,22.1%,27,35.1%,ELEMENTARY,SCHOOL DISTRICT,53729 NYS RT 30,ROXBURY,NY,12474,"(42.286, -74.5643)"
121502,DELAWARE,ROXBURY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,5,14.3%,15,42.9%,20,57.1%,MIDDLE/HIGH,SCHOOL DISTRICT,53729 NYS RT 30,ROXBURY,NY,12474,"(42.286, -74.5643)"
121601,DELAWARE,SIDNEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,65,20.2%,67,20.8%,132,41%,DISTRICT TOTAL,SCHOOL DISTRICT,95 W MAIN ST,SIDNEY,NY,13838,"(42.3045, -75.3892)"
121601,DELAWARE,SIDNEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,25,14.5%,36,20.8%,61,35.3%,ELEMENTARY,SCHOOL DISTRICT,95 W MAIN ST,SIDNEY,NY,13838,"(42.3045, -75.3892)"
121601,DELAWARE,SIDNEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,40,26.8%,31,20.8%,71,47.7%,MIDDLE/HIGH,SCHOOL DISTRICT,95 W MAIN ST,SIDNEY,NY,13838,"(42.3045, -75.3892)"
121701,DELAWARE,STAMFORD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,25,17.4%,28,19.4%,53,36.8%,DISTRICT TOTAL,SCHOOL DISTRICT,1 RIVER ST,STAMFORD,NY,12167,"(42.4108, -74.6211)"
121701,DELAWARE,STAMFORD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,18,18.6%,20,20.6%,38,39.2%,ELEMENTARY,SCHOOL DISTRICT,1 RIVER ST,STAMFORD,NY,12167,"(42.4108, -74.6211)"
121701,DELAWARE,STAMFORD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,5,9.1%,15,27.3%,20,36.4%,MIDDLE/HIGH,SCHOOL DISTRICT,1 RIVER ST,STAMFORD,NY,12167,"(42.4108, -74.6211)"
121702,DELAWARE,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,19,18.1%,19,18.1%,38,36.2%,DISTRICT TOTAL,SCHOOL DISTRICT,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842,"(42.352, -74.6997)"
121702,DELAWARE,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,12,16.2%,14,18.9%,26,35.1%,ELEMENTARY,SCHOOL DISTRICT,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842,"(42.352, -74.6997)"
121702,DELAWARE,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842,"(42.352, -74.6997)"
121901,DELAWARE,WALTON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,64,16%,88,21.9%,152,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,47-49 STOCKTON AVE,WALTON,NY,13856,"(42.1609, -75.1239)"
121901,DELAWARE,WALTON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,40,16.5%,45,18.5%,85,35%,ELEMENTARY,SCHOOL DISTRICT,47-49 STOCKTON AVE,WALTON,NY,13856,"(42.1609, -75.1239)"
121901,DELAWARE,WALTON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,24,15.2%,43,27.2%,67,42.4%,MIDDLE/HIGH,SCHOOL DISTRICT,47-49 STOCKTON AVE,WALTON,NY,13856,"(42.1609, -75.1239)"
130200,DUTCHESS,BEACON CITY SCHOOLS,HUDSON VALLEY,2010-2012,133,13.4%,182,18.3%,315,31.6%,DISTRICT TOTAL,SCHOOL DISTRICT,10 EDUCATION DR,BEACON,NY,12508,"(41.4964, -73.9717)"
130200,DUTCHESS,BEACON CITY SCHOOLS,HUDSON VALLEY,2010-2012,112,15.8%,110,15.5%,222,31.3%,ELEMENTARY,SCHOOL DISTRICT,10 EDUCATION DR,BEACON,NY,12508,"(41.4964, -73.9717)"
130200,DUTCHESS,BEACON CITY SCHOOLS,HUDSON VALLEY,2010-2012,75,27.4%,56,20.4%,131,47.8%,MIDDLE/HIGH,SCHOOL DISTRICT,10 EDUCATION DR,BEACON,NY,12508,"(41.4964, -73.9717)"
130502,DUTCHESS,DOVER UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,70,18.1%,86,22.2%,156,40.3%,DISTRICT TOTAL,SCHOOL DISTRICT,2368 RT 22,DOVER PLAINS,NY,12522,"(41.6858, -73.5773)"
130502,DUTCHESS,DOVER UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,36,21.3%,31,18.3%,67,39.6%,ELEMENTARY,SCHOOL DISTRICT,2368 RT 22,DOVER PLAINS,NY,12522,"(41.6858, -73.5773)"
130502,DUTCHESS,DOVER UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,34,14.8%,55,23.9%,89,38.7%,MIDDLE/HIGH,SCHOOL DISTRICT,2368 RT 22,DOVER PLAINS,NY,12522,"(41.6858, -73.5773)"
130801,DUTCHESS,HYDE PARK CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,211,20.4%,241,23.3%,452,43.6%,DISTRICT TOTAL,SCHOOL DISTRICT,11 BOICE RD,HYDE PARK,NY,12538,"(41.7891, -73.9337)"
130801,DUTCHESS,HYDE PARK CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,103,19.1%,119,22%,222,41.1%,ELEMENTARY,SCHOOL DISTRICT,11 BOICE RD,HYDE PARK,NY,12538,"(41.7891, -73.9337)"
130801,DUTCHESS,HYDE PARK CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,108,22%,122,24.8%,230,46.7%,MIDDLE/HIGH,SCHOOL DISTRICT,11 BOICE RD,HYDE PARK,NY,12538,"(41.7891, -73.9337)"
131101,DUTCHESS,NORTHEAST CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,55,17.9%,81,26.4%,136,44.3%,DISTRICT TOTAL,SCHOOL DISTRICT,194 HAIGHT RD,AMENIA,NY,12501,"(41.8881, -73.5307)"
131101,DUTCHESS,NORTHEAST CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,29,15.2%,53,27.7%,82,42.9%,ELEMENTARY,SCHOOL DISTRICT,194 HAIGHT RD,AMENIA,NY,12501,"(41.8881, -73.5307)"
131101,DUTCHESS,NORTHEAST CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,26,22.4%,28,24.1%,54,46.6%,MIDDLE/HIGH,SCHOOL DISTRICT,194 HAIGHT RD,AMENIA,NY,12501,"(41.8881, -73.5307)"
131201,DUTCHESS,PAWLING CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,75,15.8%,51,10.7%,126,26.5%,DISTRICT TOTAL,SCHOOL DISTRICT,515 ROUTE 22,PAWLING,NY,12564,"(41.5598, -73.5944)"
131201,DUTCHESS,PAWLING CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,52,16.7%,38,12.2%,90,28.9%,ELEMENTARY,SCHOOL DISTRICT,515 ROUTE 22,PAWLING,NY,12564,"(41.5598, -73.5944)"
131201,DUTCHESS,PAWLING CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,29,14.7%,27,13.7%,56,28.4%,MIDDLE/HIGH,SCHOOL DISTRICT,515 ROUTE 22,PAWLING,NY,12564,"(41.5598, -73.5944)"
131301,DUTCHESS,PINE PLAINS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,37,17.4%,36,16.9%,73,34.3%,DISTRICT TOTAL,SCHOOL DISTRICT,2829 CHURCH ST,PINE PLAINS,NY,12567,"(41.9811, -73.6631)"
131301,DUTCHESS,PINE PLAINS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,22,19%,16,13.8%,38,32.8%,ELEMENTARY,SCHOOL DISTRICT,2829 CHURCH ST,PINE PLAINS,NY,12567,"(41.9811, -73.6631)"
131301,DUTCHESS,PINE PLAINS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,15,15.6%,20,20.8%,35,36.5%,MIDDLE/HIGH,SCHOOL DISTRICT,2829 CHURCH ST,PINE PLAINS,NY,12567,"(41.9811, -73.6631)"
131500,DUTCHESS,POUGHKEEPSIE CITY SCHOOLS,HUDSON VALLEY,2010-2012,205,17.1%,299,24.9%,504,42%,DISTRICT TOTAL,SCHOOL DISTRICT,11 COLLEGE AVE,POUGHKEEPSIE,NY,12603,"(41.693, -73.9172)"
131500,DUTCHESS,POUGHKEEPSIE CITY SCHOOLS,HUDSON VALLEY,2010-2012,90,14.7%,136,22.2%,226,36.9%,ELEMENTARY,SCHOOL DISTRICT,11 COLLEGE AVE,POUGHKEEPSIE,NY,12603,"(41.693, -73.9172)"
131500,DUTCHESS,POUGHKEEPSIE CITY SCHOOLS,HUDSON VALLEY,2010-2012,115,19.5%,163,27.7%,278,47.2%,MIDDLE/HIGH,SCHOOL DISTRICT,11 COLLEGE AVE,POUGHKEEPSIE,NY,12603,"(41.693, -73.9172)"
131601,DUTCHESS,ARLINGTON CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,355,16.6%,345,16.1%,700,32.7%,DISTRICT TOTAL,SCHOOL DISTRICT,696 DUTCHESS TPKE,POUGHKEEPSIE,NY,12603,"(41.6985, -73.8821)"
131601,DUTCHESS,ARLINGTON CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,166,15.9%,167,16%,333,32%,ELEMENTARY,SCHOOL DISTRICT,696 DUTCHESS TPKE,POUGHKEEPSIE,NY,12603,"(41.6985, -73.8821)"
131601,DUTCHESS,ARLINGTON CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,189,17.2%,178,16.2%,367,33.4%,MIDDLE/HIGH,SCHOOL DISTRICT,696 DUTCHESS TPKE,POUGHKEEPSIE,NY,12603,"(41.6985, -73.8821)"
131602,DUTCHESS,SPACKENKILL UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,61,14.6%,60,14.3%,121,28.9%,DISTRICT TOTAL,SCHOOL DISTRICT,15 CROFT RD,POUGHKEEPSIE,NY,12603,"(41.6609, -73.9238)"
131602,DUTCHESS,SPACKENKILL UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,27,13.6%,31,15.6%,58,29.1%,ELEMENTARY,SCHOOL DISTRICT,15 CROFT RD,POUGHKEEPSIE,NY,12603,"(41.6609, -73.9238)"
131602,DUTCHESS,SPACKENKILL UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,34,15.6%,29,13.3%,63,28.9%,MIDDLE/HIGH,SCHOOL DISTRICT,15 CROFT RD,POUGHKEEPSIE,NY,12603,"(41.6609, -73.9238)"
131701,DUTCHESS,RED HOOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,81,17%,65,13.6%,146,30.6%,DISTRICT TOTAL,SCHOOL DISTRICT,7401 S BROADWAY,RED HOOK,NY,12571,"(41.991, -73.8801)"
131701,DUTCHESS,RED HOOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,37,18.9%,26,13.3%,63,32.1%,ELEMENTARY,SCHOOL DISTRICT,7401 S BROADWAY,RED HOOK,NY,12571,"(41.991, -73.8801)"
131701,DUTCHESS,RED HOOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,44,15.7%,39,13.9%,83,29.5%,MIDDLE/HIGH,SCHOOL DISTRICT,7401 S BROADWAY,RED HOOK,NY,12571,"(41.991, -73.8801)"
131801,DUTCHESS,RHINEBECK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,36,12%,48,15.9%,84,27.9%,DISTRICT TOTAL,SCHOOL DISTRICT,45 N PARK RD,RHINEBECK,NY,12572,"(41.9247, -73.9038)"
131801,DUTCHESS,RHINEBECK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,13,8.6%,18,11.8%,31,20.4%,ELEMENTARY,SCHOOL DISTRICT,45 N PARK RD,RHINEBECK,NY,12572,"(41.9247, -73.9038)"
131801,DUTCHESS,RHINEBECK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,23,15.4%,30,20.1%,53,35.6%,MIDDLE/HIGH,SCHOOL DISTRICT,45 N PARK RD,RHINEBECK,NY,12572,"(41.9247, -73.9038)"
132101,DUTCHESS,WAPPINGERS CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,348,16.6%,332,15.8%,680,32.4%,DISTRICT TOTAL,SCHOOL DISTRICT,167 MYERS CORNERS RD-STE 200,WAPPINGERS FALLS,NY,12590,"(41.6002, -73.8794)"
132101,DUTCHESS,WAPPINGERS CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,195,16.3%,183,15.3%,378,31.7%,ELEMENTARY,SCHOOL DISTRICT,167 MYERS CORNERS RD-STE 200,WAPPINGERS FALLS,NY,12590,"(41.6002, -73.8794)"
132101,DUTCHESS,WAPPINGERS CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,153,16.9%,148,16.4%,301,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,167 MYERS CORNERS RD-STE 200,WAPPINGERS FALLS,NY,12590,"(41.6002, -73.8794)"
132201,DUTCHESS,MILLBROOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,54,16.3%,62,18.7%,116,35%,DISTRICT TOTAL,SCHOOL DISTRICT,43 ALDEN PL,MILLBROOK,NY,12545,"(41.7829, -73.6902)"
132201,DUTCHESS,MILLBROOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,27,15.3%,33,18.6%,60,33.9%,ELEMENTARY,SCHOOL DISTRICT,43 ALDEN PL,MILLBROOK,NY,12545,"(41.7829, -73.6902)"
132201,DUTCHESS,MILLBROOK CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,27,17.5%,29,18.8%,56,36.4%,MIDDLE/HIGH,SCHOOL DISTRICT,43 ALDEN PL,MILLBROOK,NY,12545,"(41.7829, -73.6902)"
140101,ERIE,ALDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,86,13.4%,134,20.8%,220,34.2%,DISTRICT TOTAL,SCHOOL DISTRICT,13190 PARK ST,ALDEN,NY,14004,"(42.903, -78.4961)"
140101,ERIE,ALDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,55,14.7%,76,20.4%,131,35.1%,ELEMENTARY,SCHOOL DISTRICT,13190 PARK ST,ALDEN,NY,14004,"(42.903, -78.4961)"
140101,ERIE,ALDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,31,11.9%,58,22.2%,89,34.1%,MIDDLE/HIGH,SCHOOL DISTRICT,13190 PARK ST,ALDEN,NY,14004,"(42.903, -78.4961)"
140201,ERIE,AMHERST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,138,14.8%,128,13.7%,266,28.6%,DISTRICT TOTAL,SCHOOL DISTRICT,55 KINGS HWY,AMHERST,NY,14226,"(42.9565, -78.7922)"
140201,ERIE,AMHERST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,108,18.2%,85,14.3%,193,32.5%,ELEMENTARY,SCHOOL DISTRICT,55 KINGS HWY,AMHERST,NY,14226,"(42.9565, -78.7922)"
140201,ERIE,AMHERST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,45,14%,44,13.7%,89,27.7%,MIDDLE/HIGH,SCHOOL DISTRICT,55 KINGS HWY,AMHERST,NY,14226,"(42.9565, -78.7922)"
140203,ERIE,WILLIAMSVILLE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,414,12.9%,502,15.6%,916,28.5%,DISTRICT TOTAL,SCHOOL DISTRICT,105 CASEY RD,EAST AMHERST,NY,14051,"(43.0242, -78.7332)"
140203,ERIE,WILLIAMSVILLE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,234,12.2%,302,15.7%,536,27.9%,ELEMENTARY,SCHOOL DISTRICT,105 CASEY RD,EAST AMHERST,NY,14051,"(43.0242, -78.7332)"
140203,ERIE,WILLIAMSVILLE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,180,14%,200,15.5%,380,29.5%,MIDDLE/HIGH,SCHOOL DISTRICT,105 CASEY RD,EAST AMHERST,NY,14051,"(43.0242, -78.7332)"
140207,ERIE,SWEET HOME CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,193,16.2%,186,15.6%,379,31.7%,DISTRICT TOTAL,SCHOOL DISTRICT,1901 SWEET HOME RD,AMHERST,NY,14228,"(43.0125, -78.7992)"
140207,ERIE,SWEET HOME CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,102,15%,104,15.3%,206,30.2%,ELEMENTARY,SCHOOL DISTRICT,1901 SWEET HOME RD,AMHERST,NY,14228,"(43.0125, -78.7992)"
140207,ERIE,SWEET HOME CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,91,17.7%,82,16%,173,33.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1901 SWEET HOME RD,AMHERST,NY,14228,"(43.0125, -78.7992)"
140301,ERIE,EAST AURORA UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,96,16.3%,56,9.5%,152,25.8%,DISTRICT TOTAL,SCHOOL DISTRICT,430 MAIN ST,EAST AURORA,NY,14052,"(42.7681, -78.6183)"
140301,ERIE,EAST AURORA UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,42,12.5%,39,11.6%,81,24.1%,ELEMENTARY,SCHOOL DISTRICT,430 MAIN ST,EAST AURORA,NY,14052,"(42.7681, -78.6183)"
140301,ERIE,EAST AURORA UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,54,21.6%,14,5.6%,68,27.2%,MIDDLE/HIGH,SCHOOL DISTRICT,430 MAIN ST,EAST AURORA,NY,14052,"(42.7681, -78.6183)"
140600,ERIE,BUFFALO CITY SCHOOLS,WESTERN NEW YORK,2010-2012,542,15.6%,632,18.2%,1174,33.7%,DISTRICT TOTAL,SCHOOL DISTRICT,712 CITY HALL,BUFFALO,NY,14202,"(42.8867, -78.879)"
140600,ERIE,BUFFALO CITY SCHOOLS,WESTERN NEW YORK,2010-2012,324,14.2%,363,15.9%,687,30%,ELEMENTARY,SCHOOL DISTRICT,712 CITY HALL,BUFFALO,NY,14202,"(42.8867, -78.879)"
140600,ERIE,BUFFALO CITY SCHOOLS,WESTERN NEW YORK,2010-2012,218,18.3%,269,22.5%,487,40.8%,MIDDLE/HIGH,SCHOOL DISTRICT,712 CITY HALL,BUFFALO,NY,14202,"(42.8867, -78.879)"
140701,ERIE,CHEEKTOWAGA CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,155,18.5%,189,22.6%,344,41.1%,DISTRICT TOTAL,SCHOOL DISTRICT,3600 UNION RD,CHEEKTOWAGA,NY,14225,"(42.9116, -78.7546)"
140701,ERIE,CHEEKTOWAGA CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,88,17.3%,101,19.9%,189,37.2%,ELEMENTARY,SCHOOL DISTRICT,3600 UNION RD,CHEEKTOWAGA,NY,14225,"(42.9116, -78.7546)"
140701,ERIE,CHEEKTOWAGA CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,67,20.5%,88,26.9%,155,47.4%,MIDDLE/HIGH,SCHOOL DISTRICT,3600 UNION RD,CHEEKTOWAGA,NY,14225,"(42.9116, -78.7546)"
140702,ERIE,CHEEKTOWGA-MARYVALE UNION FREE SCOOL,WESTERN NEW YORK,2010-2012,139,19%,129,17.6%,268,36.6%,DISTRICT TOTAL,SCHOOL DISTRICT,1050 MARYVALE DR,CHEEKTOWAGA,NY,14225,"(42.9333, -78.7501)"
140702,ERIE,CHEEKTOWGA-MARYVALE UNION FREE SCOOL,WESTERN NEW YORK,2010-2012,62,16.2%,71,18.6%,133,34.8%,ELEMENTARY,SCHOOL DISTRICT,1050 MARYVALE DR,CHEEKTOWAGA,NY,14225,"(42.9333, -78.7501)"
140702,ERIE,CHEEKTOWGA-MARYVALE UNION FREE SCOOL,WESTERN NEW YORK,2010-2012,77,22.3%,58,16.8%,135,39%,MIDDLE/HIGH,SCHOOL DISTRICT,1050 MARYVALE DR,CHEEKTOWAGA,NY,14225,"(42.9333, -78.7501)"
140703,ERIE,CLEVELAND HILL UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,81,17.5%,53,11.4%,134,28.9%,DISTRICT TOTAL,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
140703,ERIE,CLEVELAND HILL UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,53,17.8%,46,15.5%,99,33.3%,ELEMENTARY,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
140703,ERIE,CLEVELAND HILL UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,28,13.1%,53,24.9%,81,38%,MIDDLE/HIGH,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
140707,ERIE,DEPEW UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,98,15.5%,127,20.1%,225,35.5%,DISTRICT TOTAL,SCHOOL DISTRICT,591 TERRACE BLVD,DEPEW,NY,14043,"(42.9038, -78.6922)"
140707,ERIE,DEPEW UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,66,16.6%,71,17.9%,137,34.5%,ELEMENTARY,SCHOOL DISTRICT,591 TERRACE BLVD,DEPEW,NY,14043,"(42.9038, -78.6922)"
140707,ERIE,DEPEW UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,32,13.7%,56,23.9%,88,37.6%,MIDDLE/HIGH,SCHOOL DISTRICT,591 TERRACE BLVD,DEPEW,NY,14043,"(42.9038, -78.6922)"
140709,ERIE,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,98,16.3%,111,18.4%,209,34.7%,DISTRICT TOTAL,SCHOOL DISTRICT,166 HALSTEAD AVE,SLOAN,NY,14212,"(42.8952, -78.7943)"
140709,ERIE,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,46,13.8%,62,18.6%,108,32.3%,ELEMENTARY,SCHOOL DISTRICT,166 HALSTEAD AVE,SLOAN,NY,14212,"(42.8952, -78.7943)"
140709,ERIE,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL,WESTERN NEW YORK,2010-2012,52,19.7%,49,18.6%,101,38.3%,MIDDLE/HIGH,SCHOOL DISTRICT,166 HALSTEAD AVE,SLOAN,NY,14212,"(42.8952, -78.7943)"
140801,ERIE,CLARENCE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,191,13%,225,15.3%,416,28.2%,DISTRICT TOTAL,SCHOOL DISTRICT,9625 MAIN ST,CLARENCE,NY,14031,"(42.9732, -78.6316)"
140801,ERIE,CLARENCE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,118,12.9%,139,15.2%,257,28%,ELEMENTARY,SCHOOL DISTRICT,9625 MAIN ST,CLARENCE,NY,14031,"(42.9732, -78.6316)"
140801,ERIE,CLARENCE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,73,13.2%,86,15.6%,159,28.8%,MIDDLE/HIGH,SCHOOL DISTRICT,9625 MAIN ST,CLARENCE,NY,14031,"(42.9732, -78.6316)"
141101,ERIE,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,148,19.4%,157,20.6%,305,40%,DISTRICT TOTAL,SCHOOL DISTRICT,307 NEWMAN ST,SPRINGVILLE,NY,14141,"(42.5168, -78.6561)"
141101,ERIE,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,85,19.1%,61,13.7%,146,32.7%,ELEMENTARY,SCHOOL DISTRICT,307 NEWMAN ST,SPRINGVILLE,NY,14141,"(42.5168, -78.6561)"
141101,ERIE,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,63,19.1%,96,29.2%,159,48.3%,MIDDLE/HIGH,SCHOOL DISTRICT,307 NEWMAN ST,SPRINGVILLE,NY,14141,"(42.5168, -78.6561)"
141201,ERIE,EDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,96,16.7%,70,12.2%,166,28.8%,DISTRICT TOTAL,SCHOOL DISTRICT,3150 SCHOOLVIEW RD,EDEN,NY,14057,"(42.6606, -78.8745)"
141201,ERIE,EDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,60,17.2%,44,12.6%,104,29.9%,ELEMENTARY,SCHOOL DISTRICT,3150 SCHOOLVIEW RD,EDEN,NY,14057,"(42.6606, -78.8745)"
141201,ERIE,EDEN CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,36,16.4%,26,11.9%,62,28.3%,MIDDLE/HIGH,SCHOOL DISTRICT,3150 SCHOOLVIEW RD,EDEN,NY,14057,"(42.6606, -78.8745)"
141301,ERIE,IROQUOIS CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,133,15.3%,119,13.7%,252,28.9%,DISTRICT TOTAL,SCHOOL DISTRICT,2111 GIRDLE RD,ELMA,NY,14059,"(42.8356, -78.6063)"
141301,ERIE,IROQUOIS CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,54,12.7%,53,12.5%,107,25.2%,ELEMENTARY,SCHOOL DISTRICT,2111 GIRDLE RD,ELMA,NY,14059,"(42.8356, -78.6063)"
141301,ERIE,IROQUOIS CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,79,17.9%,66,15%,145,32.9%,MIDDLE/HIGH,SCHOOL DISTRICT,2111 GIRDLE RD,ELMA,NY,14059,"(42.8356, -78.6063)"
